,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
72,2018,248,T18TYN,L30,0.89210635,0.030054364,40.07,US-HF
73,2018,287,T18TYN,L30,0.78792995,0.059692547,52.74,US-HF
74,2018,312,T18TYN,L30,0.6172132,0.08186648,61.11,US-HF
75,2018,344,T18TYN,L30,0.6223237,0.070075855,67.71000000000001,US-HF
76,2018,360,T18TYN,L30,0.62760514,0.07308351,68.58,US-HF
77,2019,091,T18TYN,L30,0.52190584,0.09413639,42.5,US-HF
78,2019,107,T18TYN,L30,0.43889558,0.08848064,36.67,US-HF
79,2019,114,T18TYN,L30,0.44250754,0.08625273,33.730000000000004,US-HF
80,2019,146,T18TYN,L30,0.7935838,0.06201676,26.297777777777778,US-HF
81,2019,155,T18TYN,L30,0.8578329,0.040949937,26.148888888888887,US-HF
82,2019,242,T18TYN,L30,0.8853577,0.03176923,37.51,US-HF
83,2019,258,T18TYN,L30,0.9056973,0.027634507,42.59,US-HF
84,2019,306,T18TYN,L30,0.6206016,0.07839754,58.9,US-HF
85,2020,069,T18TYN,L30,0.44301003,0.08357314,50.6,US-HF
86,2020,078,T18TYN,L30,0.475325,0.09139562,47.64,US-HF
87,2020,110,T18TYN,L30,0.4505712,0.08627268,35.730000000000004,US-HF
88,2020,126,T18TYN,L30,0.4209221,0.09322256,31.03,US-HF
89,2020,142,T18TYN,L30,0.5906997,0.08104447,27.7,US-HF
90,2020,165,T18TYN,L30,0.8776906,0.02203547,24.94,US-HF
91,2020,174,T18TYN,L30,0.89593154,0.028716424,25.88,US-HF
92,2020,197,T18TYN,L30,0.8908809,0.025007188,27.22,US-HF
93,2020,277,T18TYN,L30,0.792648,0.052523717,49.050000000000004,US-HF
94,2020,334,T18TYN,L30,0.6280097,0.07082716,66.16,US-HF
95,2015,354,T18TYN,S30,0.58735347,0.07663056,67.15,US-HF
96,2016,079,T18TYN,S30,0.41091546,0.08711933,45.160000000000004,US-HF
97,2016,149,T18TYN,S30,0.84618413,0.04913538,23.84,US-HF
98,2016,269,T18TYN,S30,0.9020485,0.025582353,45.09,US-HF
99,2016,319,T18TYN,S30,0.5624945,0.08875958,61.730000000000004,US-HF
100,2017,183,T18TYN,S30,0.8939006,0.027743714,23.35,US-HF
101,2017,218,T18TYN,S30,0.9010993,0.037828714,29.310000000000002,US-HF
102,2018,113,T18TYN,S30,0.3898543,0.0881863,32.21,US-HF
103,2018,143,T18TYN,S30,0.8581977,0.050279457,24.650000000000002,US-HF
104,2018,163,T18TYN,S30,0.8543093,0.05315109,22.71,US-HF
105,2018,168,T18TYN,S30,0.88930774,0.033213656,22.64,US-HF
106,2018,173,T18TYN,S30,0.88118005,0.037698306,22.72,US-HF
107,2018,188,T18TYN,S30,0.9028969,0.027881652,23.82,US-HF
108,2018,193,T18TYN,S30,0.91706073,0.026762571,24.46,US-HF
109,2018,208,T18TYN,S30,0.8777601,0.035880104,27.02,US-HF
110,2018,218,T18TYN,S30,0.8883098,0.038462617,29.240000000000002,US-HF
111,2018,238,T18TYN,S30,0.89958215,0.037703097,34.75,US-HF
112,2018,248,T18TYN,S30,0.87776744,0.042483654,37.94,US-HF
113,2018,308,T18TYN,S30,0.6608533,0.07354852,58.77,US-HF
114,2018,318,T18TYN,S30,0.5797692,0.08082153,61.61,US-HF
115,2019,093,T18TYN,S30,0.44372794,0.08888581,39.52,US-HF
116,2019,138,T18TYN,S30,0.6236377,0.08159668,25.580000000000002,US-HF
117,2019,158,T18TYN,S30,0.93322265,0.024944887,22.95,US-HF
118,2019,208,T18TYN,S30,0.9162877,0.034135137,26.96,US-HF
119,2019,213,T18TYN,S30,0.8893652,0.038697813,28.03,US-HF
120,2019,218,T18TYN,S30,0.89036506,0.044849172,29.18,US-HF
121,2019,238,T18TYN,S30,0.93235695,0.030366242,34.660000000000004,US-HF
122,2019,263,T18TYN,S30,0.88346237,0.04333122,43.03,US-HF
123,2019,268,T18TYN,S30,0.87549496,0.04665187,44.82,US-HF
124,2019,273,T18TYN,S30,0.8045928,0.054159444,46.63,US-HF
125,2019,278,T18TYN,S30,0.88034886,0.043957666,48.44,US-HF
126,2019,288,T18TYN,S30,0.7584136,0.054492254,52.03,US-HF
127,2019,313,T18TYN,S30,0.5732071,0.08111042,60.17,US-HF
128,2020,068,T18TYN,S30,0.44433007,0.08515171,49.52,US-HF
129,2020,123,T18TYN,S30,0.42998135,0.09340344,29.29,US-HF
130,2020,143,T18TYN,S30,0.65309536,0.075904846,24.73,US-HF
131,2020,168,T18TYN,S30,0.8825001,0.02921333,22.62,US-HF
132,2020,198,T18TYN,S30,0.8876136,0.03331671,25.12,US-HF
133,2020,233,T18TYN,S30,0.9101827,0.036870204,33.11,US-HF
134,2020,238,T18TYN,S30,0.8748737,0.046407763,34.59,US-HF
135,2020,248,T18TYN,S30,0.89386505,0.032698773,37.77,US-HF
136,2020,263,T18TYN,S30,0.911197,0.03818426,42.94,US-HF
137,2020,283,T18TYN,S30,0.837002,0.05847603,50.160000000000004,US-HF
138,2020,288,T18TYN,S30,0.77119434,0.060642198,51.94,US-HF
139,2020,313,T18TYN,S30,0.5751189,0.08435896,60.1,US-HF
140,2020,323,T18TYN,S30,0.55435723,0.086271994,62.730000000000004,US-HF
141,2020,338,T18TYN,S30,0.53892016,0.08075399,65.66,US-HF
