,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
69,2020,092,T17TNH,S30,0.41928384,0.056175217,40.34,CA-TPD
70,2020,097,T17TNH,S30,0.3960066,0.055910613,38.42,CA-TPD
71,2020,127,T17TNH,S30,0.37890726,0.06946619,28.560000000000002,CA-TPD
72,2020,142,T17TNH,S30,0.67058873,0.07476611,25.3,CA-TPD
73,2020,147,T17TNH,S30,0.7764561,0.057653923,24.52,CA-TPD
74,2020,167,T17TNH,S30,0.9373935,0.03552378,23.080000000000002,CA-TPD
75,2020,172,T17TNH,S30,0.94311386,0.030661238,23.13,CA-TPD
76,2020,177,T17TNH,S30,0.93661183,0.038365636,23.32,CA-TPD
77,2020,182,T17TNH,S30,0.9452417,0.029538333,23.66,CA-TPD
78,2020,187,T17TNH,S30,0.83345157,0.06302154,24.12,CA-TPD
79,2020,197,T17TNH,S30,0.90923333,0.046486367,25.41,CA-TPD
80,2020,227,T17TNH,S30,0.9467347,0.029327158,31.82,CA-TPD
81,2020,262,T17TNH,S30,0.9506982,0.027548784,42.89,CA-TPD
82,2020,267,T17TNH,S30,0.9246199,0.040799186,44.660000000000004,CA-TPD
83,2020,287,T17TNH,S30,0.77897584,0.060197413,51.84,CA-TPD
84,2020,317,T17TNH,S30,0.60160697,0.059615016,61.43,CA-TPD
85,2020,342,T17TNH,S30,0.63346785,0.061333913,66.43,CA-TPD
