,year,doy,tile,sensor,HLSFAPAR,HLSFAPARstd,sza,site
71,2016,319,T18TYP,S30,0.8645691,0.07257277,63.120000000000005,US-Bar
72,2017,183,T18TYP,S30,0.9519641,0.018210365,24.240000000000002,US-Bar
73,2017,278,T18TYP,S30,0.90462685,0.053386856,49.97,US-Bar
74,2017,283,T18TYP,S30,0.88409483,0.07227674,51.77,US-Bar
75,2018,128,T18TYP,S30,0.76381445,0.10595113,28.91,US-Bar
76,2018,133,T18TYP,S30,0.86029357,0.08190383,27.69,US-Bar
77,2018,138,T18TYP,S30,0.8971015,0.0580265,26.61,US-Bar
78,2018,143,T18TYP,S30,0.9336097,0.029878816,25.69,US-Bar
79,2018,163,T18TYP,S30,0.92590797,0.037086796,23.650000000000002,US-Bar
80,2018,168,T18TYP,S30,0.94978607,0.018740887,23.56,US-Bar
81,2018,173,T18TYP,S30,0.95719296,0.0155752795,23.63,US-Bar
82,2018,188,T18TYP,S30,0.9569585,0.0154409,24.72,US-Bar
83,2018,218,T18TYP,S30,0.9417409,0.023266377,30.26,US-Bar
84,2018,228,T18TYP,S30,0.947386,0.023495698,32.92,US-Bar
85,2018,238,T18TYP,S30,0.9465633,0.021136537,35.89,US-Bar
86,2018,248,T18TYP,S30,0.9492247,0.021618364,39.14,US-Bar
87,2018,278,T18TYP,S30,0.9059728,0.054743648,49.870000000000005,US-Bar
88,2018,283,T18TYP,S30,0.8899058,0.06491692,51.69,US-Bar
89,2018,308,T18TYP,S30,0.80928236,0.10547475,60.160000000000004,US-Bar
90,2019,128,T18TYP,S30,0.6987808,0.10597601,28.96,US-Bar
91,2019,158,T18TYP,S30,0.95081973,0.018493857,23.91,US-Bar
92,2019,163,T18TYP,S30,0.95435786,0.01592698,23.66,US-Bar
93,2019,168,T18TYP,S30,0.95251423,0.018306084,23.55,US-Bar
94,2019,173,T18TYP,S30,0.955519,0.012964798,23.62,US-Bar
95,2019,178,T18TYP,S30,0.9541447,0.014787961,23.82,US-Bar
96,2019,188,T18TYP,S30,0.9576037,0.015293602,24.69,US-Bar
97,2019,213,T18TYP,S30,0.95433265,0.015063418,29.02,US-Bar
98,2019,218,T18TYP,S30,0.9509351,0.018159578,30.2,US-Bar
99,2019,238,T18TYP,S30,0.94550395,0.02352123,35.81,US-Bar
100,2019,248,T18TYP,S30,0.95653945,0.015879024,39.06,US-Bar
101,2019,263,T18TYP,S30,0.93857807,0.02777987,44.300000000000004,US-Bar
102,2019,278,T18TYP,S30,0.9252598,0.03837046,49.78,US-Bar
103,2019,288,T18TYP,S30,0.7941215,0.103762545,53.39,US-Bar
104,2019,308,T18TYP,S30,0.8481746,0.08166757,60.09,US-Bar
105,2020,123,T18TYP,S30,0.6924193,0.10879032,30.41,US-Bar
106,2020,128,T18TYP,S30,0.7154815,0.10683438,29.03,US-Bar
