,year,doy,FAPAR,FAPARstd
0,2014,10,0.41723076923076924,0.07292307692307692
1,2014,20,0.42254545454545456,0.068
2,2014,31,0.40215384615384614,0.06215384615384616
3,2014,41,0.40215384615384614,0.07815384615384616
4,2014,51,0.39876923076923076,0.07784615384615384
5,2014,59,0.38276923076923075,0.06738461538461539
6,2014,69,0.36553846153846153,0.05261538461538461
7,2014,79,0.35446153846153844,0.04707692307692308
8,2014,90,0.34,0.044
9,2014,100,0.34061538461538465,0.04953846153846154
10,2014,110,0.3323076923076923,0.05076923076923077
11,2014,120,0.32861538461538464,0.07261538461538461
12,2014,130,0.35538461538461535,0.12738461538461537
13,2014,140,0.49569230769230765,0.15507692307692306
14,2014,151,0.6818461538461538,0.136
15,2014,161,0.756,0.10553846153846154
16,2014,171,0.804,0.08923076923076922
17,2014,181,0.8581538461538462,0.08061538461538462
18,2014,191,0.9003076923076923,0.08246153846153846
19,2014,201,0.9163076923076923,0.072
20,2014,212,0.9175384615384615,0.05815384615384615
21,2014,222,0.9206153846153846,0.03661538461538461
22,2014,232,0.9150769230769231,0.033846153846153845
23,2014,243,0.9033846153846153,0.04584615384615385
24,2014,253,0.8910769230769231,0.05138461538461539
25,2014,263,0.8633846153846153,0.07692307692307691
26,2014,273,0.7809230769230769,0.12523076923076923
27,2014,283,0.676923076923077,0.14215384615384616
28,2014,293,0.5846153846153846,0.13538461538461538
29,2014,304,0.48523076923076924,0.12461538461538461
30,2014,314,0.43569230769230766,0.10738461538461538
31,2014,324,0.42215384615384616,0.08553846153846154
32,2014,334,0.3963076923076923,0.09261538461538461
33,2014,344,0.39538461538461533,0.0713846153846154
34,2014,354,0.3969230769230769,0.07015384615384616
35,2014,365,0.40584615384615386,0.060307692307692305
36,2015,10,0.40676923076923077,0.054769230769230764
37,2015,20,0.424,0.05876923076923077
38,2015,31,0.41538461538461535,0.05723076923076923
39,2015,41,0.4175384615384615,0.09538461538461539
40,2015,51,0.38,0.07630769230769231
41,2015,59,0.35907692307692307,0.06892307692307692
42,2015,69,0.35015384615384615,0.06092307692307692
43,2015,79,0.34061538461538465,0.05723076923076923
44,2015,90,0.3470769230769231,0.048923076923076916
45,2015,100,0.3535384615384615,0.05353846153846154
46,2015,110,0.3793846153846154,0.05015384615384615
47,2015,120,0.38676923076923075,0.08738461538461538
48,2015,130,0.4981538461538461,0.12553846153846154
49,2015,140,0.652,0.13876923076923078
50,2015,151,0.7590769230769231,0.11784615384615384
51,2015,161,0.8052307692307693,0.08153846153846153
52,2015,171,0.84,0.08861538461538461
53,2015,181,0.8670769230769231,0.08338461538461539
54,2015,191,0.8990769230769231,0.07784615384615384
55,2015,201,0.9116923076923077,0.055692307692307694
