,ID,N,R,SDB,RSDB,Bias,RBias,RMSE,RRMSE,URAopt,URAtar,URAthr
0,EF,17,0.343,0.0153,0.015904529038169468,-0.0175,-0.018191454782219982,0.0232,0.024116671482714486,1.0,1.0,1.0
1,DF,112,0.914,0.056,0.0644771169773211,-0.021,-0.024178918866495414,0.0599,0.06896748762395596,0.5625,0.8125,0.9732142857142857
2,ALL,129,0.918,0.0525,0.05960204418123489,-0.0206,-0.023386706859684546,0.0564,0.06402962460612661,0.6201550387596899,0.8372093023255814,0.9767441860465116
