,ID,N,R,SDB,RSDB,Bias,RBias,RMSE,RRMSE,URAopt,URAtar,URAthr
0,EF,17,0.761,0.0146,0.015171902045256386,-0.0115,-0.01195047078907181,0.0186,0.01932858753710745,1.0,1.0,1.0
1,DF,106,0.948,0.0512,0.05971119083250697,-0.0108,-0.012595329316231939,0.0524,0.06111067186764385,0.7075471698113207,0.8490566037735849,0.9433962264150944
2,ALL,123,0.95,0.0479,0.0549342538269781,-0.0109,-0.012500696591107752,0.0491,0.056310477304898215,0.7479674796747967,0.8699186991869918,0.9512195121951219
