,Year,DOY,L30FAPAR,FieldFAPAR,SZA,site,sensor
26,2016,109,0.25090387,0.355070861,34.97897998,CA-TPD,L30
17,2013,116,0.3316344,0.393383158,32.46101634,CA-TPD,L30
108,2013,106,0.34757245,0.391105673,35.74092894,US-HF,L30
109,2013,122,0.37154764,0.394348792,30.66454678,US-HF,L30
33,2016,317,0.4220042,0.542641472,62.00571863,CA-TPD,L30
19,2013,324,0.44564527,0.576462168,63.93122669,CA-TPD,L30
34,2017,127,0.45461252,0.554752218,29.34087841,CA-TPD,L30
37,2017,335,0.45560944,0.579656677,66.12066759,CA-TPD,L30
121,2015,128,0.47726044,0.592660719,29.19576389,US-HF,L30
27,2016,141,0.6200407,0.736909335,26.49537072,CA-TPD,L30
53,2016,106,0.6755967,0.675511242,36.69342292,US-Bar,L30
54,2016,115,0.67766756,0.625920219,33.66403061,US-Bar,L30
52,2016,90,0.6981398,0.677461627,42.67829179,US-Bar,L30
49,2015,304,0.7071025,0.85282558,59.04600779,US-Bar,L30
89,2016,115,0.7177571,0.625920219,33.66403061,US-Bar,L30
88,2016,106,0.7277105,0.675511242,36.69342292,US-Bar,L30
51,2015,327,0.72841716,0.714710287,65.27718593,US-Bar,L30
87,2016,90,0.7287217,0.677461627,42.67829179,US-Bar,L30
50,2015,320,0.737797,0.728465928,63.63415214,US-Bar,L30
84,2015,304,0.74788463,0.85282558,59.04600779,US-Bar,L30
72,2017,300,0.7543907,0.872027988,57.92711356,US-Bar,L30
42,2015,128,0.7606214,0.62261066,29.85591127,US-Bar,L30
86,2015,327,0.7770915,0.714710287,65.27718593,US-Bar,L30
35,2017,143,0.77826446,0.812937621,26.03977098,CA-TPD,L30
63,2016,323,0.7854025,0.786891733,64.31206547,US-Bar,L30
85,2015,320,0.7886256,0.728465928,63.63415214,US-Bar,L30
107,2017,300,0.7975671,0.872027988,57.92711356,US-Bar,L30
98,2016,323,0.8057109,0.786891733,64.31206547,US-Bar,L30
77,2015,128,0.8068548,0.62261066,29.85591127,US-Bar,L30
