,Year,DOY,L30FAPAR,FieldFAPAR,SZA,site,sensor
109,2013,122,0.37154764,0.3943487915,30.66454678,US-HF,L30
110,2013,170,0.8903821,0.9085943885,24.18818605,US-HF,L30
111,2013,193,0.8819163,0.919125093,26.0186737,US-HF,L30
112,2013,218,0.87186533,0.9398186230000001,30.69955302,US-HF,L30
113,2013,234,0.8671789,0.811927198,34.87718739,US-HF,L30
114,2013,250,0.8989683,0.9185937856666667,39.79933427,US-HF,L30
115,2013,266,0.90225273,0.9175496346666666,45.25048894,US-HF,L30
116,2013,273,0.87081087,0.861865068,47.72726949,US-HF,L30
117,2014,141,0.7580481,0.804950274,26.38850127,US-HF,L30
118,2014,221,0.9095246,0.941034582,31.35951193,US-HF,L30
119,2014,237,0.91076535,0.8207027943333333,35.67740544,US-HF,L30
120,2014,276,0.9023594,0.9106978776666667,48.70827944,US-HF,L30
121,2014,285,0.8969879,0.898679705,51.90025415,US-HF,L30
122,2015,128,0.47726044,0.5966394125,29.19576389,US-HF,L30
123,2015,144,0.87076813,0.90138362,25.94183664,US-HF,L30
124,2015,192,0.9019694,0.871083872,25.82172479,US-HF,L30
125,2015,215,0.8764234,0.942341004,29.9039501,US-HF,L30
