,year,doy,FAPAR,FAPARstd
0,2014,10,,
1,2014,20,,
2,2014,31,,
3,2014,41,,
4,2014,51,,
5,2014,59,0.288,0.145
6,2014,69,0.293,0.139
7,2014,79,0.302,0.131
8,2014,90,0.317,0.116
9,2014,100,0.345,0.09
10,2014,110,0.384,0.064
11,2014,120,0.389,0.073
12,2014,130,0.425,0.075
13,2014,140,0.477,0.083
14,2014,151,0.556,0.101
15,2014,161,0.594,0.097
16,2014,171,0.661,0.091
17,2014,181,0.706,0.083
18,2014,191,0.753,0.102
19,2014,201,0.791,0.122
20,2014,212,0.774,0.109
21,2014,222,0.735,0.079
22,2014,232,0.698,0.089
23,2014,243,0.649,0.095
24,2014,253,0.542,0.078
25,2014,263,0.47,0.073
26,2014,273,0.416,0.059
27,2014,283,0.356,0.096
28,2014,293,0.325,0.121
29,2014,304,0.31,0.134
30,2014,314,0.297,0.146
31,2014,324,0.283,0.159
32,2014,334,0.24,0.126
33,2014,344,,
34,2014,354,,
35,2014,365,,
36,2015,10,,
37,2015,20,,
38,2015,31,,
39,2015,41,,
40,2015,51,0.248,0.112
41,2015,59,0.275,0.135
42,2015,69,0.283,0.128
43,2015,79,0.294,0.12
44,2015,90,0.359,0.083
45,2015,100,0.334,0.088
46,2015,110,0.378,0.066
47,2015,120,0.398,0.082
48,2015,130,0.456,0.103
49,2015,140,0.567,0.103
50,2015,151,0.619,0.074
51,2015,161,0.649,0.07
52,2015,171,0.711,0.07
53,2015,181,0.748,0.054
54,2015,191,0.755,0.049
55,2015,201,0.738,0.045
56,2015,212,0.707,0.057
57,2015,222,0.682,0.07
58,2015,232,0.664,0.066
59,2015,243,0.612,0.089
60,2015,253,0.53,0.092
61,2015,263,0.435,0.128
62,2015,273,0.381,0.156
63,2015,283,0.349,0.183
64,2015,293,0.33,0.195
65,2015,304,0.315,0.208
66,2015,314,0.258,0.221
67,2015,324,0.25333333333333335,0.20266666666666666
68,2015,334,,
69,2015,344,,
70,2015,354,,
71,2015,365,,
72,2016,10,,
73,2016,20,,
74,2016,31,,
75,2016,41,0.252,0.064
76,2016,51,0.262,0.119
77,2016,60,0.269,0.122
78,2016,70,0.275,0.113
79,2016,80,0.288,0.102
80,2016,91,0.335,0.071
81,2016,101,0.346,0.078
82,2016,111,0.398,0.07
83,2016,121,0.436,0.082
84,2016,131,0.505,0.082
85,2016,141,0.565,0.084
86,2016,152,0.606,0.085
87,2016,162,0.661,0.084
88,2016,172,0.731,0.079
89,2016,182,0.743,0.04
90,2016,192,0.757,0.039
91,2016,202,0.768,0.062
92,2016,213,0.717,0.07
93,2016,223,0.657,0.069
94,2016,233,0.647,0.044
95,2016,244,0.628,0.037
96,2016,254,0.583,0.101
97,2016,264,0.515,0.1
98,2016,274,0.47,0.117
99,2016,284,0.384,0.111
100,2016,294,0.339,0.138
101,2016,305,0.31,0.162
102,2016,315,0.292,0.177
103,2016,325,0.256,0.208
104,2016,335,0.229,0.238
105,2016,345,,
106,2016,355,,
107,2016,366,,
108,2017,10,,
109,2017,20,,
110,2017,31,,
111,2017,41,,
112,2017,51,,
113,2017,59,,
114,2017,69,0.248,0.176
115,2017,79,0.244,0.229
116,2017,90,0.296,0.196
117,2017,100,0.316,0.177
118,2017,110,0.339,0.155
119,2017,120,0.375,0.123
120,2017,130,0.44,0.121
